Naivedya,Aurangabad,Sakal Office- Jalna Road- CIDCO- Aurangabad,North Indian,500,No,No,No,No,3.4,Average,71
d' Curry House,Aurangabad,Hotel Green Olive- Near Baba Petrol Pump- Nirala Bazar- Aurangabad,Continental- Chinese- Biryani- North Indian,1000,No,No,No,No,3.6,Good,73
Mokoholic Juice Bar,Aurangabad,Opposite Municipal Car Parking- Paithan Gate- Near Mondha- Aurangabad,Juices- Desserts,300,No,No,No,No,3.5,Good,21
Ashoka's Veg Restaurant,Aurangabad,31- Opposite Kohinoor Plaza- Near M P Law College- Nirala Bazar- Aurangabad,South Indian- Chinese- North Indian,400,No,No,No,No,3.3,Average,46
Kareem's Fine Dining,Aurangabad,A1-A3- Motiwala Complex- Below KFC Restaurant- Nirala Bazar- Aurangabad,Mughlai- Biryani,700,No,No,No,No,3.3,Average,45
That Baat,Aurangabad,Near Vivekanand College- Samarth Nagar- Nirala Bazar Road- Aurangabad,Maharashtrian,450,No,No,No,No,3.4,Average,34
Bhoj Restaurant,Aurangabad,First Floor- Bhau Pathak Smriti Kamgar Bhavan- CBS Road- Nirala Bazar- Aurangabad,North Indian,450,No,No,No,No,3.7,Good,89
Downside Up,Aurangabad,6&7 B- Kuber Avenue- Rana Nagar- Near Nyay Nagar- Aurangabad,Cafe- Mughlai- North Indian,400,No,No,No,No,3.2,Average,8
Kareem's Kabab & Biryani,Aurangabad,First Floor- Food Court- Prozone Mall- MIDC Industrial Area- Chicalthana- Aurangabad,Mughlai,650,No,No,No,No,3.4,Average,39
Great Sagar Restaurant,Aurangabad,Near Bhadkal Gate- VIP Road- Shahgunj- Aurangabad,North Indian- Mughlai,600,No,No,No,No,3.3,Average,74
Kailash Restaurant,Aurangabad,Rachanakar colony- Railway Station Road- Usmanpura- Aurangabad,North Indian- Chinese- South Indian- Fast Food,450,No,No,No,No,3.3,Average,76
Yalla Yalla,Aurangabad,Near Gopal Tea Corner- Usmanpura Circle- Usmanpura- Aurangabad,North Indian- Hyderabadi,500,No,No,No,No,3.3,Average,71
Sultans of Spice,Bangalore,BluPetal Hotel- 60 Jyoti Nivas College Road- Koramangala 5th Block- Bangalore,North Indian- Mughlai,1300,Yes,Yes,No,No,4.1,Very Good,2416
The Fatty Bao - Asian Gastro Bar,Bangalore,610- 3rd Floor- 12th Main- Off 80 Feet Road- Indiranagar- Bangalore,Asian,2400,Yes,Yes,No,No,4.7,Excellent,2369
Toit,Bangalore,298- Namma Metro Pillar 62- 100 Feet Road- Indiranagar- Bangalore,Italian- American- Pizza,2000,No,No,No,No,4.8,Excellent,10934
Three Dots & A Dash,Bangalore,840/1-100 Feet Road- Metro Pillar 56-57- Indiranagar- Bangalore,European- Continental,1300,Yes,No,No,No,3.9,Good,1354
Bombay Brasserie,Bangalore,2989/B- 12th Main Road- HAL 2nd Stage- Indiranagar- Bangalore,Modern Indian,1500,No,Yes,No,No,4.2,Very Good,231
Glen's Bakehouse,Bangalore,297- 100 Feet Road- Indiranagar- Bangalore,Bakery- Desserts- Cafe,800,No,No,No,No,4,Very Good,3533
Onesta,Bangalore,501- Binnamangala Extension- 1st stage- C.M.H Road- Indiranagar- Bangalore,Pizza- Cafe- Italian,600,No,Yes,No,No,4.3,Very Good,1413
Onesta,Bangalore,Site 15- 15th Cross- 100 Feet Road- 4th Phase- JP Nagar- Bangalore,Pizza- Cafe- Italian,600,No,No,No,No,4.6,Excellent,781
ECHOES Koramangala,Bangalore,44- 4th B Cross- Koramangala 5th Block- Bangalore,Continental- American- Italian- North Indian- Chinese- Cafe,950,No,No,No,No,4.7,Excellent,276
Truffles,Bangalore,28- 4th 'B' Cross- Koramangala 5th Block- Bangalore,American- Burger- Cafe,800,No,Yes,No,No,4.7,Excellent,9667
The Black Pearl,Bangalore,105- 1st A Cross Road- Jyothi Nivas College Road- Koramangala 5th Block- Bangalore,North Indian- European- Mediterranean,1400,Yes,No,No,No,4.1,Very Good,5385
Eat Street,Bangalore,11- 80 Feet Road- Opposite Indian Oil Petrol Pump- Koramangala 6th Block- Bangalore,North Indian- Chinese- Italian- Street Food- Desserts,400,No,Yes,No,No,4.3,Very Good,753
Koramangala Social,Bangalore,118- Koramangala Industrial Area- Koramangala 7th Block- Bangalore,Continental- American,1500,No,No,No,No,4.5,Excellent,1288
AB's - Absolute Barbecues,Bangalore,90/4- 3rd Floor- Outer Ring Road- Munnekollaly Village- Marathahalli- Bangalore,European- Mediterranean- North Indian,1400,No,No,No,No,4.6,Excellent,6907
Flechazo,Bangalore,9/1- 1st Floor- Above Surya Nissan- VRR Orchid- Doddanakkundi- Marathahalli- Bangalore,Asian- Mediterranean- North Indian,1200,Yes,No,No,No,4.4,Very Good,983
Onesta,Bangalore,215- 216 & 220- Devasandra Village- Kasaba Hobli- New BEL Road- Bangalore,Pizza- Cafe- Italian,600,No,No,No,No,4.6,Excellent,627
Communiti,Bangalore,67 & 68- Brigade Solitaire- Opposite to Advaith Hyundai- Residency Road- Bangalore,Continental,1200,No,No,No,No,4.2,Very Good,334
Big Brewsky,Bangalore,Behind MK Retail- Before WIPRO Corporate Office- Sarjapur Road- Bangalore,Finger Food- North Indian- Italian- Continental- Thai- South Indian,1800,Yes,Yes,No,No,4.5,Excellent,5705
Hoot,Bangalore,BBMP 2034/69- Block 2- Kaikondrahalli- Varthur Hobli- Sarjapur Road- Bangalore,Continental- Italian- North Indian,1400,No,No,No,No,3.9,Good,405
Farzi Cafe,Bangalore,202- Level 2- UB City- Vittal Mallya Road- Lavelle Road- Bangalore,Modern Indian,1500,No,No,No,No,4.4,Very Good,754
Black N White Cafe,Bhopal,G-1- Raksha Tower- Eden Garden- Arera Colony- Bhopal,Cafe- Chinese- North Indian,200,No,No,No,No,3.3,Average,51
Maybe There,Bhopal,4th floor-10th Cross Road Building- Above Vishal Fitness Centre- 10 Main Road- Arera Colony- Bhopal,Cafe,600,No,No,No,No,3.4,Average,63
Sagar Gaire Fast Food,Bhopal,10- Number Market- Arera Colony- Bhopal,Fast Food,250,No,No,No,No,4.9,Excellent,427
The Kasbah,Bhopal,110/7- Mandakini- Opposite Union Bank- Kolar Main Road- Arera Colony- Bhopal,North Indian- Chinese,700,No,No,No,No,3.9,Good,126
Bake N Shake,Bhopal,B-1- GM Tower-  Stop No. 10- Arera Colony- Bhopal,Fast Food,500,No,No,No,No,4.2,Very Good,223
10 Downing Street,Bhopal,Third Floor- DB City Mall- Maharana Pratap Nagar- Bhopal,North Indian- Chinese,1000,No,No,No,No,4,Very Good,257
